* Measurement data measured by REW V5.20.5
* Source: Rohsa A Target Filtered
* Format: 
* Dated: 2022/03/22 18:27:24
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -19.1 dB
* Note: 
* Measurement: Rohsa D Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
2240.000000 81.195
2270.000000 81.294
2300.000000 81.393
2330.000000 81.491
2360.000000 81.589
2400.000000 81.722
2430.000000 81.817
2470.000000 81.938
2500.000000 82.024
2540.000000 82.136
2580.000000 82.238
2620.000000 82.335
2650.000000 82.406
2690.000000 82.498
2720.000000 82.563
2760.000000 82.644
2800.000000 82.717
2850.000000 82.785
2900.000000 82.826
2950.000000 82.847
3000.000000 82.850
3040.000000 82.836
3070.000000 82.815
3110.000000 82.772
3150.000000 82.720
3200.000000 82.652
3250.000000 82.573
3300.000000 82.477
3350.000000 82.365
3400.000000 82.245
3450.000000 82.121
3500.000000 81.994
3550.000000 81.866
3600.000000 81.736
3650.000000 81.604
3700.000000 81.468
3750.000000 81.328
3820.000000 81.135
3870.000000 80.996
3950.000000 80.771
4000.000000 80.636
4060.000000 80.482
4120.000000 80.327
4180.000000 80.167
4250.000000 79.980
4310.000000 79.829
4370.000000 79.690
4440.000000 79.540
4500.000000 79.410
4550.000000 79.297
4620.000000 79.137
4680.000000 79.000
4750.000000 78.843
4820.000000 78.690
4870.000000 78.584
4940.000000 78.437
5000.000000 78.315
5080.000000 78.156
5150.000000 78.020
5220.000000 77.888
5300.000000 77.740
5380.000000 77.595
5450.000000 77.472
5520.000000 77.351
5600.000000 77.216
5700.000000 77.051
5800.000000 76.890
5900.000000 76.730
6000.000000 76.567
6080.000000 76.430
6150.000000 76.307
6220.000000 76.186
6300.000000 76.058
6400.000000 75.911
6500.000000 75.772
6600.000000 75.639
6700.000000 75.509
6800.000000 75.381
6900.000000 75.256
7000.000000 75.132
7100.000000 75.006
7200.000000 74.873
7300.000000 74.734
7400.000000 74.598
7500.000000 74.473
7620.000000 74.336
7750.000000 74.197
7880.000000 74.063
8000.000000 73.942
8120.000000 73.822
8250.000000 73.688
8380.000000 73.545
8500.000000 73.410
8620.000000 73.284
8750.000000 73.161
8850.000000 73.071
9000.000000 72.935
9120.000000 72.820
9250.000000 72.692
9380.000000 72.569
9500.000000 72.461
9620.000000 72.354
9750.000000 72.235
9880.000000 72.116
10000.000000 72.009
10150.000000 71.877
10300.000000 71.747
10440.000000 71.630
10600.000000 71.495
10750.000000 71.366
10900.000000 71.240
11060.000000 71.112
11200.000000 71.006
11380.000000 70.872
11500.000000 70.780
11720.000000 70.610
11800.000000 70.549
12060.000000 70.354
12200.000000 70.252
12410.000000 70.102
12500.000000 70.039
12650.000000 69.936
12800.000000 69.835
13150.000000 69.606
13200.000000 69.574
13400.000000 69.448
13600.000000 69.325
13800.000000 69.204
14000.000000 69.085
14300.000000 68.904
14500.000000 68.780
14750.000000 68.629
15000.000000 68.489
15250.000000 68.352
15500.000000 68.213
15750.000000 68.073
16000.000000 67.937
16250.000000 67.803
16500.000000 67.671
16750.000000 67.545
17000.000000 67.419
17250.000000 67.298
17500.000000 67.181
17750.000000 67.064
18000.000000 66.951
18250.000000 66.841
18500.000000 66.728
18750.000000 66.615
19000.000000 66.509
19250.000000 66.417
19500.000000 66.339
19750.000000 66.280
20000.000000 66.246
