* Measurement data measured by REW V5.20.5
* Source: Rohsa 1.1A Target Filtered
* Format: 
* Dated: 2022/05/26 18:08:42
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -3.5 dB
* Note: 
* Measurement: Rohsa 1.1C Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 19.500 Hz
*
* Freq(Hz) SPL(dB)
2180.000000 81.946
2200.000000 82.016
2240.000000 82.147
2270.000000 82.242
2300.000000 82.338
2330.000000 82.432
2360.000000 82.525
2400.000000 82.650
2430.000000 82.738
2470.000000 82.849
2500.000000 82.927
2540.000000 83.026
2580.000000 83.116
2620.000000 83.198
2650.000000 83.259
2690.000000 83.338
2720.000000 83.393
2760.000000 83.464
2800.000000 83.528
2850.000000 83.586
2900.000000 83.623
2950.000000 83.644
3000.000000 83.652
3040.000000 83.646
3070.000000 83.632
3110.000000 83.602
3150.000000 83.565
3200.000000 83.518
3250.000000 83.465
3300.000000 83.394
3350.000000 83.310
3400.000000 83.218
3450.000000 83.122
3500.000000 83.023
3550.000000 82.923
3600.000000 82.820
3650.000000 82.713
3700.000000 82.601
3750.000000 82.485
3820.000000 82.322
3870.000000 82.204
3950.000000 82.010
4000.000000 81.893
4060.000000 81.759
4120.000000 81.624
4180.000000 81.481
4250.000000 81.314
4310.000000 81.179
4370.000000 81.056
4440.000000 80.923
4500.000000 80.807
4550.000000 80.705
4620.000000 80.560
4680.000000 80.436
4750.000000 80.293
4820.000000 80.154
4870.000000 80.057
4940.000000 79.924
5000.000000 79.812
5080.000000 79.667
5150.000000 79.544
5220.000000 79.423
5300.000000 79.288
5380.000000 79.157
5450.000000 79.045
5520.000000 78.935
5600.000000 78.813
5700.000000 78.663
5800.000000 78.517
5900.000000 78.372
6000.000000 78.223
6080.000000 78.097
6150.000000 77.983
6220.000000 77.872
6300.000000 77.755
6400.000000 77.621
6500.000000 77.495
6600.000000 77.374
6700.000000 77.256
6800.000000 77.140
6900.000000 77.026
7000.000000 76.913
7100.000000 76.797
7200.000000 76.675
7300.000000 76.546
7400.000000 76.419
7500.000000 76.303
7620.000000 76.177
7750.000000 76.049
7880.000000 75.925
8000.000000 75.814
8120.000000 75.702
8250.000000 75.577
8380.000000 75.443
8500.000000 75.316
8620.000000 75.197
8750.000000 75.081
8850.000000 74.996
9000.000000 74.868
9120.000000 74.759
9250.000000 74.636
9380.000000 74.518
9500.000000 74.416
9620.000000 74.313
9750.000000 74.198
9880.000000 74.084
10000.000000 73.980
10150.000000 73.852
10300.000000 73.726
10440.000000 73.612
10600.000000 73.480
10750.000000 73.354
10900.000000 73.230
11060.000000 73.104
11200.000000 73.000
11380.000000 72.867
11500.000000 72.777
11720.000000 72.609
11800.000000 72.548
