* Measurement data measured by REW V5.20.5
* Source: Rohsa A Target Filtered
* Format: 
* Dated: 2022/03/22 18:24:37
* REW Settings:
*  C-weighting compensation: Off
*  Target level: -19.1 dB
* Note: 
* Measurement: Rohsa C Target
* Smoothing: 1/12 octave
* Frequency Step: 1/48 octave
* Start Frequency: 20.000 Hz
*
* Freq(Hz) SPL(dB)
2240.000000 81.271
2270.000000 81.370
2300.000000 81.469
2330.000000 81.568
2360.000000 81.666
2400.000000 81.799
2430.000000 81.895
2470.000000 82.015
2500.000000 82.102
2540.000000 82.214
2580.000000 82.317
2620.000000 82.414
2650.000000 82.485
2690.000000 82.577
2720.000000 82.642
2760.000000 82.724
2800.000000 82.797
2850.000000 82.865
2900.000000 82.906
2950.000000 82.928
3000.000000 82.931
3040.000000 82.917
3070.000000 82.896
3110.000000 82.853
3150.000000 82.802
3200.000000 82.734
3250.000000 82.655
3300.000000 82.559
3350.000000 82.448
3400.000000 82.328
3450.000000 82.203
3500.000000 82.077
3550.000000 81.949
3600.000000 81.820
3650.000000 81.688
3700.000000 81.551
3750.000000 81.412
3820.000000 81.219
3870.000000 81.080
3950.000000 80.855
4000.000000 80.720
4060.000000 80.566
4120.000000 80.411
4180.000000 80.251
4250.000000 80.064
4310.000000 79.913
4370.000000 79.775
4440.000000 79.625
4500.000000 79.495
4550.000000 79.382
4620.000000 79.222
4680.000000 79.085
4750.000000 78.928
4820.000000 78.776
4870.000000 78.669
4940.000000 78.523
5000.000000 78.401
5080.000000 78.241
5150.000000 78.106
5220.000000 77.973
5300.000000 77.825
5380.000000 77.681
5450.000000 77.558
5520.000000 77.437
5600.000000 77.302
5700.000000 77.137
5800.000000 76.976
5900.000000 76.816
6000.000000 76.653
6080.000000 76.516
6150.000000 76.393
6220.000000 76.272
6300.000000 76.144
6400.000000 75.997
6500.000000 75.859
6600.000000 75.725
6700.000000 75.595
6800.000000 75.468
6900.000000 75.343
7000.000000 75.219
7100.000000 75.092
7200.000000 74.960
7300.000000 74.821
7400.000000 74.685
7500.000000 74.560
7620.000000 74.423
7750.000000 74.284
7880.000000 74.150
8000.000000 74.029
8120.000000 73.909
8250.000000 73.775
8380.000000 73.632
8500.000000 73.497
8620.000000 73.371
8750.000000 73.248
8850.000000 73.158
9000.000000 73.022
9120.000000 72.907
9250.000000 72.779
9380.000000 72.656
9500.000000 72.548
9620.000000 72.441
9750.000000 72.322
9880.000000 72.203
10000.000000 72.097
10150.000000 71.964
10300.000000 71.834
10440.000000 71.717
10600.000000 71.582
10750.000000 71.454
10900.000000 71.327
11060.000000 71.199
11200.000000 71.093
11380.000000 70.959
11500.000000 70.867
11720.000000 70.698
11800.000000 70.637
12060.000000 70.442
12200.000000 70.340
12410.000000 70.190
12500.000000 70.127
12650.000000 70.024
12800.000000 69.922
13150.000000 69.693
13200.000000 69.661
13400.000000 69.535
13600.000000 69.412
13800.000000 69.292
14000.000000 69.173
14300.000000 68.992
14500.000000 68.867
14750.000000 68.716
15000.000000 68.576
15250.000000 68.440
15500.000000 68.301
15750.000000 68.160
16000.000000 68.024
16250.000000 67.890
16500.000000 67.759
16750.000000 67.632
17000.000000 67.507
17250.000000 67.385
17500.000000 67.268
17750.000000 67.152
18000.000000 67.039
18250.000000 66.928
18500.000000 66.816
18750.000000 66.702
19000.000000 66.597
19250.000000 66.504
19500.000000 66.427
19750.000000 66.367
20000.000000 66.333
